iter	Passed	Remaining
807	5477	1301
808	5483	1294
809	5490	1288
810	5497	1281
811	5503	1274
812	5510	1267
813	5516	1260
814	5522	1253
815	5528	1246
816	5533	1239
817	5539	1232
818	5545	1225
819	5551	1218
820	5557	1211
821	5564	1204
822	5570	1197
823	5576	1191
824	5583	1184
825	5589	1177
826	5595	1170
827	5601	1163
828	5608	1156
829	5614	1149
830	5619	1142
831	5626	1136
832	5632	1129
833	5638	1122
834	5645	1115
835	5651	1108
836	5657	1101
837	5663	1094
838	5670	1088
839	5676	1081
840	5682	1074
841	5688	1067
842	5695	1060
843	5702	1053
844	5708	1047
845	5714	1040
846	5719	1033
847	5725	1026
848	5731	1019
849	5737	1012
850	5743	1005
851	5749	998
852	5756	992
853	5763	985
854	5769	978
855	5776	971
856	5782	964
857	5788	958
858	5795	951
859	5801	944
860	5807	937
861	5813	930
862	5819	923
863	5825	916
864	5831	910
865	5837	903
866	5843	896
867	5849	889
868	5856	882
869	5862	875
870	5867	869
871	5874	862
872	5880	855
873	5886	848
874	5892	841
875	5898	834
876	5904	828
877	5911	821
878	5917	814
879	5923	807
880	5930	801
881	5936	794
882	5942	787
883	5947	780
884	5953	773
885	5960	766
886	5966	760
887	5972	753
888	5978	746
889	5984	739
890	5990	732
891	5997	726
892	6003	719
893	6009	712
894	6015	705
895	6022	698
896	6028	692
897	6035	685
898	6041	678
899	6047	671
900	6053	665
901	6058	658
902	6065	651
903	6070	644
904	6076	637
905	6082	631
906	6088	624
907	6094	617
908	6100	610
909	6107	604
910	6113	597
911	6120	590
912	6126	583
913	6152	578
914	6172	573
915	6183	567
916	6195	560
917	6208	554
918	6220	548
919	6227	541
920	6236	534
921	6248	528
922	6261	522
923	6268	515
924	6275	508
925	6282	502
926	6288	495
927	6295	488
928	6302	481
929	6309	474
930	6316	468
931	6322	461
932	6329	454
933	6336	447
934	6342	440
935	6349	434
936	6355	427
937	6362	420
938	6369	413
939	6375	406
940	6382	400
941	6388	393
942	6395	386
943	6402	379
944	6409	373
945	6415	366
946	6422	359
947	6428	352
948	6435	345
949	6441	339
950	6448	332
951	6454	325
952	6460	318
953	6467	311
954	6473	305
955	6480	298
956	6487	291
957	6493	284
958	6500	277
959	6506	271
960	6514	264
961	6521	257
962	6528	250
963	6535	244
964	6541	237
965	6547	230
966	6554	223
967	6560	216
968	6567	210
969	6573	203
970	6580	196
971	6587	189
972	6593	182
973	6600	176
974	6607	169
975	6613	162
976	6620	155
977	6627	149
978	6634	142
979	6640	135
980	6648	128
981	6655	121
982	6661	115
983	6668	108
984	6675	101
985	6681	94
986	6688	88
987	6695	81
988	6702	74
989	6708	67
990	6715	60
991	6722	54
992	6729	47
993	6736	40
994	6742	33
995	6749	27
996	6755	20
997	6762	13
998	6769	6
999	6776	0
